Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/pipe/assembly/AssemblyHelpersTest.java@package inputFileRhs : String,src/test/data/InputData.java@public inputFileRhs : String,"[BlameRes(sha1='02504c59e03595417f4c339c1f7a0b55d1764477', oline='27', file_name='src/test/cascading/pipe/assembly/AssemblyHelpersTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move And Rename Attribute,src/test/cascading/scheme/TextDelimitedTest.java@package testData : String,src/test/data/InputData.java@public testDelimited : String,"[BlameRes(sha1='26ff823c91bf3747ef91033de9b8fa62aeb669ea', oline='18', file_name='src/test/cascading/scheme/TextDelimitedTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move And Rename Attribute,src/test/cascading/scheme/TextDelimitedTest.java@package testSpecialCharData : String,src/test/data/InputData.java@public testDelimitedSpecialCharData : String,"[BlameRes(sha1='e897353cb38614fa927f98b210a3754a67d26427', oline='20', file_name='src/test/cascading/scheme/TextDelimitedTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/scheme/WritableSequenceFileTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='ac150e57b9c255413573ebf64bf3f94c34e0706f', oline='22', file_name='src/test/cascading/scheme/WritableSequenceFileTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/stats/CascadingStatsTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='a68a0d7b733d51e4041dc496f6bd7599c974ca26', oline='24', file_name='src/test/cascading/stats/FlowStatsTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tap/TapTest.java@package inputFileComments : String,src/test/data/InputData.java@public inputFileComments : String,"[BlameRes(sha1='4f39421d04411fa19631658d0000c2e79690cbc3', oline='27', file_name='src/test/cascading/tap/TapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tap/TapTest.java@package inputFileJoined : String,src/test/data/InputData.java@public inputFileJoined : String,"[BlameRes(sha1='4f39421d04411fa19631658d0000c2e79690cbc3', oline='28', file_name='src/test/cascading/tap/TapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tap/TapTest.java@package inputFileCross : String,src/test/data/InputData.java@public inputFileCross : String,"[BlameRes(sha1='1872c841708b6f393995fcfe50985275ac3944e2', oline='28', file_name='src/test/cascading/tap/TapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tap/TapTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='1f26d983dd470e25173e26647b45062f2de2969c', oline='30', file_name='src/test/cascading/tap/TapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tap/TapTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='1f26d983dd470e25173e26647b45062f2de2969c', oline='31', file_name='src/test/cascading/tap/TapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tuple/hadoop/SerializedPipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='34', file_name='src/test/cascading/tuple/hadoop/SerializedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tuple/hadoop/SerializedPipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='36', file_name='src/test/cascading/tuple/hadoop/SerializedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Move Attribute,src/test/cascading/tuple/hadoop/SerializedPipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='37', file_name='src/test/cascading/tuple/hadoop/SerializedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BasicPipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='81ef5c6fe03bdd64a8d5d07b6b64aa8f5391cfd5', oline='34', file_name='src/test/cascading/BasicPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BufferPipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='9236857b5f1f2c47ef900c866ac22c2e29e19d83', oline='27', file_name='src/test/cascading/ReducerPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/CoGroupFieldedPipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='35', file_name='src/test/cascading/CoGroupFieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/FieldedPipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='81ef5c6fe03bdd64a8d5d07b6b64aa8f5391cfd5', oline='38', file_name='src/test/cascading/FieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/RegressionPipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='00b86715a1f93619782fb943ece50146a9749cfd', oline='21', file_name='src/test/cascading/RegressionPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/SortedValuesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='dc292a4e33d28a23b4a3873acd9d1d018a4db825', oline='26', file_name='src/test/cascading/SortedValuesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/TrapTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='5ce1d7713eec34981cd8f532db3660e7439e2094', oline='22', file_name='src/test/cascading/TrapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/UnmodifiablePipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='3b67f514d97b70910e30ef63eb71441694f028d3', oline='32', file_name='src/test/cascading/UnmodifiablePipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/flow/FlowSkipTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='7b0d91436569d290afe8cd8d867b7abdb89ec83b', oline='41', file_name='src/test/cascading/flow/FlowSkipTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/flow/MapReduceFlowTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='70ced84447d4b364f070d166ee461844986d3d91', oline='18', file_name='src/test/cascading/flow/MapReduceFlowTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/function/FunctionTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='f726c0747c4e2848eb8a2c5cf27476a6b12144e9', oline='22', file_name='src/test/cascading/function/FunctionTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/operation/assertion/AppliedAssertionsTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='05431d89569cfeb639cea2337a22835d6d411e97', oline='25', file_name='src/test/cascading/operation/assertion/AppliedAssertionsTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/scheme/WritableSequenceFileTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='ac150e57b9c255413573ebf64bf3f94c34e0706f', oline='22', file_name='src/test/cascading/scheme/WritableSequenceFileTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/stats/CascadingStatsTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='a68a0d7b733d51e4041dc496f6bd7599c974ca26', oline='24', file_name='src/test/cascading/stats/FlowStatsTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/tuple/hadoop/SerializedPipesTest.java@package inputFileApache : String,src/test/data/InputData.java@public inputFileApache : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='34', file_name='src/test/cascading/tuple/hadoop/SerializedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BasicPipesTest.java@package inputFileIps : String,src/test/data/InputData.java@public inputFileIps : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='36', file_name='src/test/cascading/BasicPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BufferPipesTest.java@package inputFileIps : String,src/test/data/InputData.java@public inputFileIps : String,"[BlameRes(sha1='9236857b5f1f2c47ef900c866ac22c2e29e19d83', oline='28', file_name='src/test/cascading/ReducerPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/CoGroupFieldedPipesTest.java@package inputFileIps : String,src/test/data/InputData.java@public inputFileIps : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='36', file_name='src/test/cascading/CoGroupFieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/FieldedPipesTest.java@package inputFileIps : String,src/test/data/InputData.java@public inputFileIps : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='32', file_name='src/test/cascading/FieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/RegressionPipesTest.java@package inputFileIps : String,src/test/data/InputData.java@public inputFileIps : String,"[BlameRes(sha1='00b86715a1f93619782fb943ece50146a9749cfd', oline='22', file_name='src/test/cascading/RegressionPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/SortedValuesTest.java@package inputFileIps : String,src/test/data/InputData.java@public inputFileIps : String,"[BlameRes(sha1='ad8289bf4db66588fa07107e33de86a7bfbee7ca', oline='39', file_name='src/test/cascading/SortedValuesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/UnmodifiablePipesTest.java@package inputFileIps : String,src/test/data/InputData.java@public inputFileIps : String,"[BlameRes(sha1='3b67f514d97b70910e30ef63eb71441694f028d3', oline='33', file_name='src/test/cascading/UnmodifiablePipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BasicPipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='39', file_name='src/test/cascading/BasicPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BufferPipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='9236857b5f1f2c47ef900c866ac22c2e29e19d83', oline='33', file_name='src/test/cascading/ReducerPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/CoGroupFieldedPipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='41', file_name='src/test/cascading/CoGroupFieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/FieldedPipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='36', file_name='src/test/cascading/FieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/RegressionPipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='00b86715a1f93619782fb943ece50146a9749cfd', oline='27', file_name='src/test/cascading/RegressionPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/UnmodifiablePipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='3b67f514d97b70910e30ef63eb71441694f028d3', oline='38', file_name='src/test/cascading/UnmodifiablePipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/function/FunctionTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='1a50c0eb3258c4ba90804350e71bf83af3fa5bbd', oline='25', file_name='src/test/cascading/function/FunctionTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/pipe/assembly/AssemblyHelpersTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='1edf79b3c46e902c4988e1b316193567f9c4a3ee', oline='21', file_name='src/test/cascading/pipe/assembly/AssemblyHelpersTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/tap/TapTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='1f26d983dd470e25173e26647b45062f2de2969c', oline='30', file_name='src/test/cascading/tap/TapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/tuple/hadoop/SerializedPipesTest.java@package inputFileUpper : String,src/test/data/InputData.java@public inputFileUpper : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='36', file_name='src/test/cascading/tuple/hadoop/SerializedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BasicPipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='40', file_name='src/test/cascading/BasicPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BufferPipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='9236857b5f1f2c47ef900c866ac22c2e29e19d83', oline='34', file_name='src/test/cascading/ReducerPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/CoGroupFieldedPipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='42', file_name='src/test/cascading/CoGroupFieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/FieldedPipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='37', file_name='src/test/cascading/FieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/RegressionPipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='00b86715a1f93619782fb943ece50146a9749cfd', oline='28', file_name='src/test/cascading/RegressionPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/UnmodifiablePipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='3b67f514d97b70910e30ef63eb71441694f028d3', oline='39', file_name='src/test/cascading/UnmodifiablePipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/pipe/assembly/AssemblyHelpersTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='1edf79b3c46e902c4988e1b316193567f9c4a3ee', oline='22', file_name='src/test/cascading/pipe/assembly/AssemblyHelpersTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/tap/TapTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='1f26d983dd470e25173e26647b45062f2de2969c', oline='31', file_name='src/test/cascading/tap/TapTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/tuple/hadoop/SerializedPipesTest.java@package inputFileLower : String,src/test/data/InputData.java@public inputFileLower : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='37', file_name='src/test/cascading/tuple/hadoop/SerializedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BasicPipesTest.java@package inputFileJoined : String,src/test/data/InputData.java@public inputFileJoined : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='41', file_name='src/test/cascading/BasicPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/BufferPipesTest.java@package inputFileJoined : String,src/test/data/InputData.java@public inputFileJoined : String,"[BlameRes(sha1='9236857b5f1f2c47ef900c866ac22c2e29e19d83', oline='36', file_name='src/test/cascading/ReducerPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/CoGroupFieldedPipesTest.java@package inputFileJoined : String,src/test/data/InputData.java@public inputFileJoined : String,"[BlameRes(sha1='9095638d8dc2c49cfa260a111ba7d7dbec3e2c27', oline='44', file_name='src/test/cascading/CoGroupFieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/FieldedPipesTest.java@package inputFileJoined : String,src/test/data/InputData.java@public inputFileJoined : String,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='38', file_name='src/test/cascading/FieldedPipesTest.java')]",
cascading,3,"('85257e7842a5d45f18e6789ba5891d3877ed036b', '44a60773d1e8fa3c65ca4a66e2cdfd8effb730e1', '6113e6883a013d3d1020e3cea1d497687b5a050e')",Change Attribute Access Modifier,src/test/cascading/RegressionPipesTest.java@package inputFileJoined : String,src/test/data/InputData.java@public inputFileJoined : String,"[BlameRes(sha1='00b86715a1f93619782fb943ece50146a9749cfd', oline='30', file_name='src/test/cascading/RegressionPipesTest.java')]",
